Image,BoundingBoxes,Labels
maksssksksss0.png,"[{""height"":37,""label"":""Face"",""left"":79,""top"":105,""width"":30},{""height"":44,""label"":""Face"",""left"":185,""top"":100,""width"":41},{""height"":51,""label"":""Face"",""left"":325,""top"":90,""width"":35}]","[""Not Wearing Mask"", ""Wearing Mask Correctly"", ""Not Wearing Mask""]"
maksssksksss1.png,"[{""height"":35,""label"":""Face"",""left"":321,""top"":34,""width"":33},{""height"":35,""label"":""Face"",""left"":224,""top"":38,""width"":37},{""height"":23,""label"":""Face"",""left"":299,""top"":58,""width"":16},{""height"":41,""label"":""Face"",""left"":143,""top"":74,""width"":31},{""height"":30,""label"":""Face"",""left"":74,""top"":69,""width"":21},{""height"":26,""label"":""Face"",""left"":191,""top"":67,""width"":30},{""height"":20,""label"":""Face"",""left"":21,""top"":73,""width"":23},{""height"":29,""label"":""Face"",""left"":369,""top"":70,""width"":29},{""height"":33,""label"":""Face"",""left"":83,""top"":56,""width"":28}]","[""Wearing Mask Correctly"", ""Wearing Mask Correctly"", ""Wearing Mask Correctly"", ""Wearing Mask Correctly"", ""Wearing Mask Correctly"", ""Wearing Mask Correctly"", ""Wearing Mask Correctly"", ""Wearing Mask Correctly"", ""Not Wearing Mask""]"
maksssksksss10.png,"[{""height"":116,""label"":""Face"",""left"":98,""top"":267,""width"":96}]","[""Wearing Mask Correctly""]"
maksssksksss100.png,"[{""height"":58,""label"":""Face"",""left"":189,""top"":30,""width"":56},{""height"":21,""label"":""Face"",""left"":387,""top"":54,""width"":13},{""height"":39,""label"":""Face"",""left"":118,""top"":87,""width"":45}]","[""Wearing Mask Correctly"", ""Wearing Mask Correctly"", ""Wearing Mask Correctly""]"
maksssksksss101.png,"[{""height"":106,""label"":""Face"",""left"":48,""top"":294,""width"":116}]","[""Wearing Mask Correctly""]"
maksssksksss102.png,"[{""height"":49,""label"":""Face"",""left"":212,""top"":57,""width"":39}]","[""Wearing Mask Correctly""]"
maksssksksss103.png,"[{""height"":56,""label"":""Face"",""left"":42,""top"":54,""width"":52},{""height"":60,""label"":""Face"",""left"":188,""top"":46,""width"":48},{""height"":42,""label"":""Face"",""left"":261,""top"":88,""width"":42},{""height"":39,""label"":""Face"",""left"":368,""top"":112,""width"":32}]","[""Wearing Mask Correctly"", ""Wearing Mask Correctly"", ""Wearing Mask Correctly"", ""Wearing Mask Correctly""]"
maksssksksss104.png,"[{""height"":31,""label"":""Face"",""left"":42,""top"":109,""width"":24},{""height"":20,""label"":""Face"",""left"":2,""top"":105,""width"":20},{""height"":17,""label"":""Face"",""left"":30,""top"":88,""width"":16},{""height"":44,""label"":""Face"",""left"":133,""top"":108,""width"":41},{""height"":38,""label"":""Face"",""left"":221,""top"":101,""width"":35},{""height"":27,""label"":""Face"",""left"":304,""top"":131,""width"":27},{""height"":11,""label"":""Face"",""left"":83,""top"":85,""width"":13},{""height"":17,""label"":""Face"",""left"":167,""top"":91,""width"":13}]","[""Not Wearing Mask"", ""Not Wearing Mask"", ""Not Wearing Mask"", ""Wearing Mask Correctly"", ""Wearing Mask Correctly"", ""Not Wearing Mask"", ""Not Wearing Mask"", ""Not Wearing Mask""]"
maksssksksss105.png,"[{""height"":59,""label"":""Face"",""left"":178,""top"":143,""width"":35},{""height"":42,""label"":""Face"",""left"":280,""top"":103,""width"":32},{""height"":40,""label"":""Face"",""left"":320,""top"":79,""width"":32},{""height"":31,""label"":""Face"",""left"":365,""top"":53,""width"":25},{""height"":31,""label"":""Face"",""left"":243,""top"":36,""width"":24},{""height"":40,""label"":""Face"",""left"":115,""top"":47,""width"":31},{""height"":43,""label"":""Face"",""left"":33,""top"":88,""width"":32},{""height"":63,""label"":""Face"",""left"":29,""top"":202,""width"":36},{""height"":32,""label"":""Face"",""left"":26,""top"":34,""width"":26}]","[""Wearing Mask Correctly"", ""Wearing Mask Correctly"", ""Wearing Mask Correctly"", ""Wearing Mask Correctly"", ""Wearing Mask Correctly"", ""Wearing Mask Correctly"", ""Wearing Mask Correctly"", ""Wearing Mask Correctly"", ""Wearing Mask Correctly""]"
maksssksksss106.png,"[{""height"":340,""label"":""Face"",""left"":154,""top"":51,""width"":269}]","[""Wearing Mask Correctly""]"
maksssksksss107.png,"[{""height"":120,""label"":""Face"",""left"":121,""top"":192,""width"":91}]","[""Wearing Mask Correctly""]"
maksssksksss108.png,"[{""height"":22,""label"":""Face"",""left"":155,""top"":29,""width"":25},{""height"":23,""label"":""Face"",""left"":206,""top"":35,""width"":22},{""height"":14,""label"":""Face"",""left"":332,""top"":67,""width"":14},{""height"":14,""label"":""Face"",""left"":362,""top"":68,""width"":14},{""height"":11,""label"":""Face"",""left"":267,""top"":72,""width"":11}]","[""Wearing Mask Correctly"", ""Wearing Mask Correctly"", ""Wearing Mask Correctly"", ""Wearing Mask Correctly"", ""Not Wearing Mask""]"
maksssksksss109.png,"[{""height"":159,""label"":""Face"",""left"":216,""top"":92,""width"":156}]","[""Wearing Mask Correctly""]"
maksssksksss11.png,"[{""height"":58,""label"":""Face"",""left"":23,""top"":114,""width"":54},{""height"":54,""label"":""Face"",""left"":147,""top"":157,""width"":53},{""height"":43,""label"":""Face"",""left"":201,""top"":191,""width"":29},{""height"":55,""label"":""Face"",""left"":243,""top"":192,""width"":50},{""height"":42,""label"":""Face"",""left"":309,""top"":182,""width"":37},{""height"":32,""label"":""Face"",""left"":249,""top"":108,""width"":27},{""height"":29,""label"":""Face"",""left"":275,""top"":99,""width"":28},{""height"":23,""label"":""Face"",""left"":195,""top"":90,""width"":19},{""height"":23,""label"":""Face"",""left"":214,""top"":76,""width"":23},{""height"":17,""label"":""Face"",""left"":232,""top"":50,""width"":15},{""height"":16,""label"":""Face"",""left"":266,""top"":45,""width"":15},{""height"":16,""label"":""Face"",""left"":207,""top"":47,""width"":15},{""height"":12,""label"":""Face"",""left"":227,""top"":36,""width"":12},{""height"":12,""label"":""Face"",""left"":253,""top"":33,""width"":14},{""height"":10,""label"":""Face"",""left"":290,""top"":31,""width"":14},{""height"":8,""label"":""Face"",""left"":362,""top"":32,""width"":10}]","[""Wearing Mask Incorrectly"", ""Wearing Mask Correctly"", ""Wearing Mask Correctly"", ""Wearing Mask Correctly"", ""Wearing Mask Correctly"", ""Wearing Mask Correctly"", ""Wearing Mask Correctly"", ""Wearing Mask Correctly"", ""Wearing Mask Correctly"", ""Wearing Mask Correctly"", ""Wearing Mask Correctly"", ""Wearing Mask Correctly"", ""Wearing Mask Correctly"", ""Wearing Mask Correctly"", ""Wearing Mask Correctly"", ""Wearing Mask Correctly""]"
maksssksksss110.png,"[{""height"":37,""label"":""Face"",""left"":6,""top"":111,""width"":37},{""height"":26,""label"":""Face"",""left"":22,""top"":20,""width"":27},{""height"":25,""label"":""Face"",""left"":48,""top"":12,""width"":22},{""height"":23,""label"":""Face"",""left"":113,""top"":1,""width"":23},{""height"":29,""label"":""Face"",""left"":78,""top"":17,""width"":28},{""height"":20,""label"":""Face"",""left"":97,""top"":66,""width"":18},{""height"":34,""label"":""Face"",""left"":70,""top"":111,""width"":34},{""height"":29,""label"":""Face"",""left"":42,""top"":157,""width"":43},{""height"":59,""label"":""Face"",""left"":59,""top"":205,""width"":52},{""height"":43,""label"":""Face"",""left"":116,""top"":155,""width"":56},{""height"":33,""label"":""Face"",""left"":112,""top"":85,""width"":37},{""height"":20,""label"":""Face"",""left"":124,""top"":27,""width"":29},{""height"":24,""label"":""Face"",""left"":163,""top"":29,""width"":26},{""height"":26,""label"":""Face"",""left"":186,""top"":18,""width"":29},{""height"":34,""label"":""Face"",""left"":178,""top"":77,""width"":36},{""height"":27,""label"":""Face"",""left"":216,""top"":57,""width"":25},{""height"":31,""label"":""Face"",""left"":237,""top"":15,""width"":31},{""height"":21,""label"":""Face"",""left"":281,""top"":19,""width"":27},{""height"":24,""label"":""Face"",""left"":286,""top"":60,""width"":25},{""height"":41,""label"":""Face"",""left"":253,""top"":94,""width"":40},{""height"":34,""label"":""Face"",""left"":236,""top"":161,""width"":37},{""height"":38,""label"":""Face"",""left"":282,""top"":194,""width"":40},{""height"":37,""label"":""Face"",""left"":314,""top"":115,""width"":36},{""height"":25,""label"":""Face"",""left"":335,""top"":27,""width"":24},{""height"":20,""label"":""Face"",""left"":381,""top"":14,""width"":20},{""height"":26,""label"":""Face"",""left"":356,""top"":72,""width"":29}]","[""Not Wearing Mask"", ""Not Wearing Mask"", ""Wearing Mask Correctly"", ""Wearing Mask Correctly"", ""Not Wearing Mask"", ""Not Wearing Mask"", ""Not Wearing Mask"", ""Not Wearing Mask"", ""Wearing Mask Correctly"", ""Not Wearing Mask"", ""Not Wearing Mask"", ""Not Wearing Mask"", ""Not Wearing Mask"", ""Wearing Mask Correctly"", ""Wearing Mask Correctly"", ""Not Wearing Mask"", ""Not Wearing Mask"", ""Not Wearing Mask"", ""Not Wearing Mask"", ""Wearing Mask Correctly"", ""Not Wearing Mask"", ""Wearing Mask Correctly"", ""Wearing Mask Correctly"", ""Not Wearing Mask"", ""Not Wearing Mask"", ""Wearing Mask Correctly""]"
maksssksksss111.png,"[{""height"":20,""label"":""Face"",""left"":17,""top"":182,""width"":18},{""height"":15,""label"":""Face"",""left"":17,""top"":101,""width"":8},{""height"":15,""label"":""Face"",""left"":48,""top"":98,""width"":13},{""height"":17,""label"":""Face"",""left"":17,""top"":127,""width"":10},{""height"":19,""label"":""Face"",""left"":5,""top"":133,""width"":9},{""height"":23,""label"":""Face"",""left"":109,""top"":59,""width"":23},{""height"":21,""label"":""Face"",""left"":140,""top"":64,""width"":21},{""height"":25,""label"":""Face"",""left"":184,""top"":68,""width"":23},{""height"":22,""label"":""Face"",""left"":248,""top"":73,""width"":19},{""height"":25,""label"":""Face"",""left"":291,""top"":65,""width"":23},{""height"":14,""label"":""Face"",""left"":383,""top"":96,""width"":14},{""height"":20,""label"":""Face"",""left"":383,""top"":125,""width"":15}]","[""Wearing Mask Correctly"", ""Wearing Mask Correctly"", ""Wearing Mask Correctly"", ""Not Wearing Mask"", ""Not Wearing Mask"", ""Wearing Mask Correctly"", ""Wearing Mask Correctly"", ""Wearing Mask Correctly"", ""Wearing Mask Correctly"", ""Wearing Mask Correctly"", ""Wearing Mask Correctly"", ""Not Wearing Mask""]"
maksssksksss112.png,"[{""height"":47,""label"":""Face"",""left"":90,""top"":84,""width"":48}]","[""Wearing Mask Incorrectly""]"
maksssksksss113.png,"[{""height"":16,""label"":""Face"",""left"":133,""top"":108,""width"":15},{""height"":14,""label"":""Face"",""left"":203,""top"":117,""width"":11},{""height"":15,""label"":""Face"",""left"":294,""top"":115,""width"":14},{""height"":15,""label"":""Face"",""left"":228,""top"":119,""width"":13}]","[""Wearing Mask Correctly"", ""Wearing Mask Correctly"", ""Wearing Mask Correctly"", ""Not Wearing Mask""]"
maksssksksss114.png,"[{""height"":78,""label"":""Face"",""left"":4,""top"":83,""width"":71},{""height"":83,""label"":""Face"",""left"":80,""top"":58,""width"":73}]","[""Not Wearing Mask"", ""Wearing Mask Correctly""]"
maksssksksss115.png,"[{""height"":24,""label"":""Face"",""left"":24,""top"":67,""width"":23},{""height"":21,""label"":""Face"",""left"":79,""top"":91,""width"":24},{""height"":21,""label"":""Face"",""left"":109,""top"":80,""width"":19},{""height"":22,""label"":""Face"",""left"":137,""top"":88,""width"":22},{""height"":27,""label"":""Face"",""left"":179,""top"":107,""width"":26},{""height"":23,""label"":""Face"",""left"":254,""top"":105,""width"":24},{""height"":22,""label"":""Face"",""left"":221,""top"":78,""width"":23},{""height"":21,""label"":""Face"",""left"":172,""top"":86,""width"":11},{""height"":19,""label"":""Face"",""left"":185,""top"":85,""width"":24}]","[""Wearing Mask Correctly"", ""Wearing Mask Correctly"", ""Wearing Mask Correctly"", ""Wearing Mask Correctly"", ""Wearing Mask Correctly"", ""Wearing Mask Correctly"", ""Wearing Mask Correctly"", ""Wearing Mask Correctly"", ""Wearing Mask Correctly""]"
